primary_identifier,gender,network_stay,average_monthly_bill_amount,dusage_days,dusage_stddev,vusage_onnet_sum,vusage_onnet_max,vusage_onnet_min,vusage_onnet_days,vusage_onnet_stddev,vusage_offnet_days,vusage_offnet_stddev,number_of_fixed_bb_accounts,number_of_iptv_accounts,add_on_tot_rental,add_on_count,next_month_plan,dusage_avg_bin,dusage_sum_bin,dusage_min_bin,dusage_max_bin,vusage_onnet_avg_bin,vusage_offnet_avg_bin,vusage_offnet_sum_bin,vusage_offnet_min_bin,vusage_offnet_max_bin,device_type__2G,device_type__3G,device_type__4G,device_category__Basic,device_category__Feature phone,device_category__Modem,device_category__Pluggable card,device_category__Smartphone,device_category__Tablet,district_name__Ampara,district_name__Anuradhapura,district_name__Badulla,district_name__Batticaloa,district_name__Colombo,district_name__Galle,district_name__Gampaha,district_name__Hambantota,district_name__Jaffna,district_name__Kalutara,district_name__Kandy,district_name__Kegalle,district_name__Kilinochchi,district_name__Kurunegala,district_name__Mannar,district_name__Matale,district_name__Matara,district_name__Monaragala,district_name__Mullaitivu,district_name__Nuwara Eliya,district_name__Polonnaruwa,district_name__Puttalam,district_name__Ratnapura,district_name__Trincomalee,district_name__Unknown,district_name__Vavuniya,age_group__20-30,age_group__30-40,age_group__40-50,age_group__50-60,age_group__60-70,age_group__<20,age_group__>70
4058040,1,64,1612.7,30,248.0730704,0,0,0,0,0,7,2.649689794,0,0,740,2,3,400,12000,100,1200,0,10,30,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8104537,0,26,1787.08,30,225.8108122,0,0,0,0,0,0,0,0,0,,,5,400,11000,100,1100,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6937092,0,178,496.34,0,0,0,0,0,0,0,3,2.560656859,0,0,,,1,0,0,0,0,0,10,20,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3515441,0,18,1528.66,26,58.70361419,57,19.65,0,4,5.559295546,5,2.357697539,0,0,,,1,100,2000,0,200,20,10,30,0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1254707,1,94,1826.41,30,192.3235875,9,9.75,0,1,1.780098312,11,4.407215182,0,0,350,1,3,200,4000,100,900,10,10,50,0,30,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5038603,1,52,352.97,30,92.77912719,0,0,0,0,0,6,0.657626688,0,0,,,2,100,2000,100,400,0,10,10,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3037770,0,4,557.74,0,0,0,0,0,0,0,22,2.491780949,0,0,,,1,0,0,0,0,0,10,50,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4669431,1,57,4721.84,30,340.7503405,0,0,0,0,0,0,0,0,0,2550,5,3,700,20000,300,1500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8683145,0,126,1165.14,27,17.20242251,0,0,0,0,0,15,3.213490332,0,1,,,2,100,1000,0,100,0,10,60,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1429480,1,92,6277.38,30,195.9504255,0,0,0,0,0,0,0,0,0,650,2,5,300,8000,100,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3206263,1,207,5597.2,30,2445.461558,0,0,0,0,0,13,2.536920479,0,1,1200,3,8,2000,59000,200,8900,0,10,50,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5932612,0,131,2758.85,30,670.8558436,0,0,0,0,0,17,1.239875473,0,0,710,3,4,800,22000,400,4100,0,10,30,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4149370,0,186,815.07,28,83.23419653,0,0,0,0,0,15,2.092690938,0,0,,,1,200,4000,0,300,0,10,40,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8043224,0,121,261.03,0,0,0,0,0,0,0,21,2.913526694,0,0,250,2,1,0,0,0,0,0,10,60,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2791547,0,224,2310.88,28,253.744132,0,0,0,0,0,0,0,0,1,,,5,700,19000,0,1200,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4700883,0,157,2438.19,30,485.4180101,0,0,0,0,0,10,2.432178123,0,0,500,1,4,500,14000,200,2500,0,10,40,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1475018,0,164,540.04,29,396.8270317,0,0,0,0,0,10,3.727791796,0,1,,,1,300,8000,0,1400,0,10,40,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3654932,1,234,2683.86,30,146.7677924,0,0,0,0,0,3,3.024664257,1,0,,,5,200,6000,100,500,0,10,30,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9537482,1,44,1104.98,30,344.7353686,0,0,0,0,0,25,2.903566585,0,0,200,1,1,400,12000,100,1300,0,10,100,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8635750,0,129,3119.85,29,565.5527884,0,0.3,0,1,0.054772256,3,1.781170583,0,0,350,1,4,500,13000,0,2900,10,10,20,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8202793,0,90,1822.13,28,353.8016828,0,0,0,0,0,0,0,0,0,0,1,5,500,14000,0,1400,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7457653,0,145,3152.29,30,702.4103745,0,0,0,0,0,0,0,0,0,560,3,6,600,16000,100,3500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6392194,0,198,3218.07,30,446.4644701,84,63.21666667,0,2,12.05063869,2,2.249042722,0,0,650,1,8,600,16000,200,2400,50,10,20,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8320068,0,205,3225.47,30,190.8463455,0,0,0,0,0,0,0,0,0,500,1,5,500,13000,100,800,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7050237,0,88,2358.87,30,439.5392947,0,0,0,0,0,5,0.633973512,1,0,910,3,1,1100,33000,400,1800,0,10,10,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1942923,0,20,3683.39,15,5.42419466,3,3.883333333,0,1,0.708996422,13,2.572278845,0,0,0,1,3,100,1000,0,100,10,10,60,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9063073,0,7,836.86,30,301.2019274,0,0,0,0,0,2,1.520211217,0,0,1410,6,1,600,17000,100,1300,0,10,10,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7712669,1,66,1818.13,30,322.4717785,0,0,0,0,0,0,0,0,0,,,5,400,11000,100,1300,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7689631,0,79,2451.9,1,0.085394295,0,0,0,0,0,26,11.01830451,0,0,350,1,3,100,0,0,100,0,10,180,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007165,1,150,2609.5,30,32.4811825,0,0,0,0,0,12,20.55940262,0,0,100,2,6,100,1000,100,200,0,30,250,0,110,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4886863,1,138,2225.97,12,327.4044301,0,0,0,0,0,21,4.38306203,0,0,40,2,3,600,7000,0,1100,0,10,100,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9691869,0,127,1807.42,29,420.7154554,14,8.15,0,2,1.904734724,4,4.559006356,0,1,50,1,5,200,6000,0,2400,10,20,50,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3854673,0,129,3780.05,30,683.2609874,0,0,0,0,0,17,1.723083551,0,0,1360,5,2,1500,45000,500,4000,0,10,30,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2979017,0,244,1008.1,30,142.8142575,0,0,0,0,0,9,0.440652888,0,1,,,2,300,9000,100,700,0,10,10,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4303456,0,26,640.62,27,251.06579,0,0,0,0,0,5,1.03711519,0,0,,,1,200,4000,0,1200,0,10,10,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1849820,0,21,673.56,0,0,0,0,0,0,0,12,3.528954896,0,0,,,1,0,0,0,0,0,10,60,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3539448,0,9,709.49,0,0,0,0,0,0,0,16,4.792690938,0,1,,,1,0,0,0,0,0,10,90,0,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1470577,1,16,3070.81,30,594.6665018,0,0,0,0,0,1,0.672481584,1,0,0,1,2,300,9000,100,2900,0,10,10,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1428567,0,17,1224.54,0,0,0,0,0,0,0,1,0.514616602,0,1,,,2,0,0,0,0,0,10,10,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1665134,0,14,708.5,19,10.81000321,0,0,0,0,0,0,0,0,0,,,2,100,1000,100,100,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6410141,0,120,1882.81,30,145.6099264,0,0,0,0,0,16,3.832327038,0,0,350,1,4,400,10000,100,600,0,10,60,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4458046,0,8,821.81,28,489.4493426,0,0,0,0,0,0,0,1,0,360,2,1,500,14000,100,2000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1738557,1,152,2638.83,30,171.2909382,0,0,0,0,0,0,0,0,0,,,6,300,8000,100,700,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9067157,0,64,1836.35,0,0,0,0,0,0,0,22,11.02982554,0,0,,,2,0,0,0,0,0,20,220,0,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9356074,1,115,8594.5,30,376.7714665,0,0,0,0,0,0,0,0,0,950,1,8,500,15000,100,1600,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4407119,0,81,2939.19,30,57.52490539,0,0,0,0,0,20,3.670181396,0,0,840,2,3,100,2000,100,300,0,10,70,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9177331,1,5,1089.73,23,846.5272209,0,0,0,0,0,11,5.087404029,0,0,360,2,1,900,20000,0,2600,0,10,90,0,30,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9407615,0,5,1295.4,15,239.3263709,0,0,0,0,0,8,5.135158774,0,0,350,1,2,300,4000,0,1300,0,10,40,0,30,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5417030,1,96,1052.56,29,243.1921765,0,0,0,0,0,10,0.619335856,0,0,50,1,1,200,4000,100,1000,0,10,10,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4884677,0,113,2483.58,29,207.2290626,0,0,0,0,0,27,5.137116708,0,2,,,3,500,13000,0,800,0,10,170,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1592844,0,210,1683.03,30,326.5553,0,0,0,0,0,0,0,0,0,,,5,500,14000,100,1200,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4098272,0,102,6979.96,30,1003.615631,0,0,0,0,0,0,0,0,0,500,2,8,1800,53000,100,4400,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5801376,0,193,560.88,0,0,0,0,0,0,0,4,0.68108321,0,0,20,1,1,0,0,0,0,0,10,10,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9484999,0,16,3441.6,30,753.7673133,0,0.75,0,1,0.136930639,30,10.90488186,0,0,,,3,1100,31000,100,3300,10,20,400,10,40,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4080289,0,34,986.22,30,275.0434076,4,4.366666667,0,1,0.797240611,8,2.074849084,0,0,,,2,500,13000,100,1200,10,10,30,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4658945,1,3,663.68,10,494.5019192,0,0,0,0,0,0,0,0,0,350,1,1,500,5000,100,1500,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7971612,0,40,2995.09,30,830.8033044,0,0,0,0,0,0,0,1,0,1290,3,6,1600,46000,600,4200,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1198344,0,147,894.14,27,78.14718754,0,0,0,0,0,20,10.38173106,0,0,,,2,100,2000,0,400,0,20,210,0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9649789,0,142,1625.16,14,0.001774221,0,0,0,0,0,19,2.269589408,0,0,450,2,1,100,0,0,100,0,10,50,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9664087,0,17,582.56,18,1.151325703,0,0,0,0,0,23,4.270396259,0,0,,,1,100,1000,0,100,0,10,100,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3835213,1,41,1494.75,24,573.8182357,13,8.033333333,0,4,1.590651167,7,1.282015918,0,0,500,1,3,600,13000,0,2700,10,10,20,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1062691,0,49,1928.5,30,647.9970604,0,0,0,0,0,0,0,0,0,770,3,3,1500,45000,600,3000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3765259,1,44,2113.67,30,327.5522047,515,87.58333333,0,23,24.74971012,4,2.207081081,0,0,,,4,500,13000,100,1500,30,10,20,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7750702,0,16,2682.09,15,308.4639087,0,0,0,0,0,2,2.310458737,0,0,1190,6,4,300,5000,0,1300,0,10,20,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1722143,1,135,3565.04,30,583.3779439,0,0,0,0,0,4,3.084315573,0,0,250,2,1,700,19000,100,2000,0,10,20,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6230167,0,168,2320.3,0,0,0,0,0,0,0,29,10.80299213,0,1,,,2,0,0,0,0,0,10,280,0,60,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4150835,1,154,2919.55,30,145.2749787,0,0,0,0,0,28,9.89671503,0,0,500,1,4,300,8000,100,600,0,20,300,0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4465033,1,5,1560.54,29,445.1117866,0,0.366666667,0,1,0.066943868,26,15.7552208,0,0,360,2,1,600,18000,0,1400,10,20,340,0,70,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4101172,0,165,3508.94,30,417.0212288,0,0,0,0,0,0,0,0,0,1000,2,6,1400,41000,600,2100,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9435547,0,189,2782.88,30,328.667186,0,0,0,0,0,27,5.248611718,0,0,350,1,4,600,18000,100,1400,0,10,140,0,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1721767,0,204,1843.76,30,402.1249352,0,0,0,0,0,0,0,0,0,,,5,500,14000,100,1800,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9484855,0,118,1205.62,14,0.105657788,0,0,0,0,0,4,2.136761568,0,0,,,3,100,1000,0,100,0,10,30,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5931652,0,185,1267.96,26,270.7508484,0,0,0,0,0,13,1.998995917,0,0,750,5,1,500,13000,0,1100,0,10,30,0,20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
